movie_id,clean_title,mood,Action,Adventure,Animation,Comedy,Crime,Documentary,Drama,Family,Fantasy,Foreign,History,Horror,Music,Mystery,Romance,Science Fiction,TV Movie,Thriller,War,Western
19995,Avatar,Excited,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
285,Pirates of the Caribbean: At World's End,Excited,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
206647,Spectre,Excited,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49026,The Dark Knight Rises,Sad,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
49529,John Carter,Excited,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
559,Spider-Man 3,Excited,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
38757,Tangled,Happy,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
99861,Avengers: Age of Ultron,Excited,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
767,Harry Potter and the Half-Blood Prince,Happy,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
209112,Batman v Superman: Dawn of Justice,Excited,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1452,Superman Returns,Excited,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
10764,Quantum of Solace,Scared,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
58,Pirates of the Caribbean: Dead Man's Chest,Excited,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
57201,The Lone Ranger,Excited,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
49521,Man of Steel,Excited,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
2454,The Chronicles of Narnia: Prince Caspian,Happy,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
24428,The Avengers,Excited,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1865,Pirates of the Caribbean: On Stranger Tides,Excited,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
41154,Men in Black 3,Happy,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
122917,The Hobbit: The Battle of the Five Armies,Excited,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1930,The Amazing Spider-Man,Excited,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
20662,Robin Hood,Excited,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57158,The Hobbit: The Desolation of Smaug,Excited,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2268,The Golden Compass,Excited,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
254,King Kong,Sad,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
597,Titanic,Happy,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0
271110,Captain America: Civil War,Excited,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
44833,Battleship,Scared,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
135397,Jurassic World,Scared,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
37724,Skyfall,Scared,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
558,Spider-Man 2,Excited,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
